	A549 cells, DMSO, 24h, rep1	A549 cells, DMSO, 24h, rep2	A549 cells, DMSO, 24h, rep3	A549 cells, RSL3, 24h, rep1	A549 cells, RSL3, 24h, rep2	A549 cells, RSL3, 24h, rep3	A549 cells, RSL3 and Fer-1, 24h, rep1	A549 cells, RSL3 and Fer-1, 24h, rep2	A549 cells, RSL3 and Fer-1, 24h, rep3
TAP2	0.3369312584081983	0.7171957939908427	0.32231475128820225	0.8392850746114211	0.6512497100209967	0.5228398626605039	0.7628408514697848	0.39887780650117605	0.1208518509533466
TAP2	-0.7036100373956983	-1.920721856025539	-0.7778555849083183	-1.922319508718258	-0.9785992079533848	-1.9274003973620784	-1.8186468584626976	-1.9032999944538531	-1.9159710899475262
TAP2	-1.9242352471785058	-1.920721856025539	-1.9214176870622146	-0.1666973177984185	-1.9241779197814324	-1.9274003973620784	-1.9158285376992241	0.06024762611172471	-1.9159710899475262
SPARC	0.8142461461885576	1.0021838827562863	-0.05890913993433094	-0.09264354334596238	-0.011467902313338278	-0.5331328733628486	-0.7448793511270492	-0.6389907482991355	-1.701939966308892
TUBGCP3	1.4349705858891488	1.404637176867316	1.426445444750528	1.408116917273977	1.4533373185547176	1.4104361704406547	1.4662618407659236	1.4316058981826847	1.4507064098650884
TUBGCP3	-0.8275928379147872	0.26897679144117914	0.09244365450862566	0.23589784757054538	-0.6228670547474466	0.23879222957455268	-1.9158285376992241	0.27677659362759044	-1.3491691413589841
ENSG00000273217	-1.9242352471785058	-1.920721856025539	-1.9214176870622146	-0.03611943482806732	-0.3866583401629761	-0.47787801810975605	-1.9158285376992241	-1.9032999944538531	-0.6818192371564705
MRM1	0.4501564649772628	0.3982923668670765	0.20630039733606634	0.08087702989341977	0.4128945619760583	0.09628055730188635	0.11963454302215133	0.5587302570808448	0.41337739153932684
MRM1	-0.2558031456604266	-0.6756229717131298	0.17578901176643594	-0.13844546794399198	-1.9241779197814324	-0.015265146156510336	0.14241935563036281	-1.9032999944538531	-0.39708561408329035
UTP4	1.7590228291615542	1.7535174680338828	1.7565002606337725	1.7210114681024677	1.7456057745933673	1.7255471841749703	1.741262785076804	1.7732944749870228	1.6857833094160801
UTP4	0.2779670463606979	-1.4445996257470852	-0.5403030217819538	-0.46431663452022953	-1.675951743704443	0.1603046147240497	-0.6007881098365153	-0.719157306426706	0.8716947782032635
ENSG00000287856	-0.2403777686001178	-1.920721856025539	-0.5158828481427872	-0.20923152378137916	-0.5287388128941347	-0.0470942581092661	0.019943612785549708	-1.9032999944538531	0.2922635038187939
ENSG00000273184	-0.0013850989167807674	-0.8029819981288464	0.12131146709268219	-1.922319508718258	-0.2879033698962114	-0.07751618947063278	-0.27409289667134584	-1.9032999944538531	-0.012385974650299537
ENSG00000285240	-1.9242352471785058	-1.920721856025539	-0.42149383982604127	-0.4919260471368225	-0.4295624844109937	-1.9274003973620784	-0.359134492521066	-0.29909928133489594	-1.9159710899475262
ENSG00000285499	-1.9242352471785058	-1.920721856025539	-0.42149383982604127	-0.4919260471368225	-0.4295624844109937	-1.9274003973620784	-0.359134492521066	-0.29909928133489594	-1.9159710899475262
ENSG00000285263	-1.9242352471785058	-1.920721856025539	-0.42149383982604127	-0.4919260471368225	-0.4295624844109937	-1.9274003973620784	-0.359134492521066	-0.29909928133489594	-1.9159710899475262
ENSG00000285238	-1.9242352471785058	-0.3454134243976677	-1.9214176870622146	-1.922319508718258	0.11577980398191795	-1.9274003973620784	-1.9158285376992241	-1.9032999944538531	-1.9159710899475262
PENK	0.22464364889445973	0.393271437499417	-1.510267634714606	-0.8732530575134795	-1.0535058532212767	-1.2528400791407568	-1.482966520036879	-1.543143855521694	-1.9159710899475262
NPHP3-ACAD11	-1.9242352471785058	0.07657765564865261	-0.06947119388650137	-0.4331319254415677	-0.4738872008638511	0.03991767469039002	0.06699849647892855	-1.9032999944538531	-0.8059731594736391
RPL3P4	0.4327432874449439	-1.1394552227049468	0.2894781989612637	-1.922319508718258	-0.23838391507290968	0.2952634331219153	-0.4238016574808375	0.2859907024677999	0.1458999691412399
ENSG00000290018	-1.9242352471785058	0.48876017188165166	-1.7818203805211998	-1.922319508718258	-1.9241779197814324	-1.9274003973620784	-1.9158285376992241	-1.9032999944538531	-1.9159710899475262
ENSG00000286237	-0.0445050486196668	0.039993249115772914	0.01622382004985258	-1.922319508718258	-0.6614532960053211	-0.0470942581092661	-0.9436431625937781	-1.9032999944538531	-0.24730967704637707
ENSG00000264558	-1.0189746096176289	-1.920721856025539	-0.008247678201253219	-0.36952322398950277	-0.23838391507290968	-0.6669960471706353	-0.28882511586231335	-1.9032999944538531	-1.9159710899475262
ENSG00000259049	0.13058884015920663	-1.920721856025539	-0.40463487470971177	-0.10529516742258986	-0.9137121203929447	-1.9274003973620784	-0.2580378011825203	-0.05906665978385698	-1.115267723413317
LRIG2-DT	-0.15830556916808533	-0.05985173573232253	-0.3281456591802582	-0.008043472444503517	-0.06372110398176957	-0.05741109148961069	-0.4439830925687773	-1.9032999944538531	-1.9159710899475262
LRIG2-DT	-0.22542709462279115	-1.641423844620832	-0.46774296572127283	-1.922319508718258	-1.9241779197814324	-1.9274003973620784	-0.27409289667134584	-0.05906665978385698	0.014361438460572064
ENSG00000288684	-1.9242352471785058	-0.3031756437190295	-0.48980351650911913	-0.31132441120578663	0.058139548316328477	-0.08727275518638657	-0.1715001627103638	-1.9032999944538531	0.0062876414123596664
ANAPC1P4	-1.9242352471785058	-0.2661020420903414	-1.9214176870622146	-0.1829659430245407	-1.9241779197814324	-1.9274003973620784	-1.332763339215509	-0.5252563645615631	-1.9159710899475262
MICB	-0.2844968592596229	-0.4301495624172148	-0.2949366262407994	-0.35004554086106543	-0.4100249249294834	-0.5649476279571821	-0.6007881098365153	-0.5770644025629933	-0.23375867849714366
MICB	-1.3079181526423669	-1.2614503464503322	-0.8861356680917484	-1.173979152512223	-1.9241779197814324	-0.7557123334218355	-0.665455274796287	-1.9032999944538531	-0.9582006428222672
MICB	-1.9242352471785058	-0.05175143390710588	-0.24475557237057718	-1.922319508718258	-0.5905792990480638	-0.864292292487637	-1.9158285376992241	-1.9032999944538531	0.03205001410973153
MICB	-0.2844968592596229	-0.4301495624172148	-0.2949366262407994	-0.35004554086106543	-0.4100249249294834	-0.5649476279571821	-0.6007881098365153	-0.5770644025629933	-0.23375867849714366
MICB	0.16253471022578572	-1.920721856025539	-1.9214176870622146	-1.922319508718258	-1.9241779197814324	-1.1551952412296431	-1.9158285376992241	-1.9032999944538531	-0.12233489915270013
MICB	-1.9242352471785058	-1.920721856025539	-1.9214176870622146	-0.19514952598681481	-0.5287388128941347	-1.9274003973620784	-0.8341347591642122	-0.364834804699516	-1.9159710899475262
MICB	1.0466271167893808	1.0573043238348496	1.0221524261122101	1.0856778383135273	1.0830043666026745	1.0820938463586243	1.0878534648490639	1.0782221617666858	1.0073299085053122
PHLDA2	-0.021390769568238606	0.29268913896581655	0.0250915528992033	0.5408068240433207	0.6463741039085252	0.6280328539011725	0.4258799013865793	0.4166003319497569	0.4164419442485367
PHLDA2	0.08270666520753528	-1.920721856025539	-0.44406760963912334	-1.922319508718258	-1.9241779197814324	-1.9274003973620784	-1.9158285376992241	-1.9032999944538531	-1.9159710899475262
ENSG00000268173	-0.7036100373956983	-0.15778185792194965	-0.14229922674401194	-1.922319508718258	-1.9241779197814324	-1.9274003973620784	-0.7035409113446732	-0.7573553760006381	-0.23375867849714366
ENSG00000263809	-1.9242352471785058	-0.3870784283107507	-0.5403030217819538	-1.922319508718258	-1.9241779197814324	-0.3546748159436131	-0.5190653763507829	-0.5252563645615631	-1.9159710899475262
ENSG00000289517	-0.5139618378196407	-1.920721856025539	-0.2949366262407994	-1.922319508718258	-1.9241779197814324	-1.9274003973620784	-0.5469232743692984	-1.9032999944538531	-0.5498894837381334
MLXIP	1.358552678230253	1.3525900997378075	1.411817610868743	1.4454283736530535	1.4349404108228023	1.4586819523296104	1.394402308236796	1.4754173049774761	1.4600582736452232
